"","setting_beta","outcome","vax_scenario_short","intervention","dose_impact","pop_level_impact"
"1","FJI","death","booster to high-risk","booster dose","449 (383-523)","56 (54-58)"
"2","FJI","death","booster to all","booster dose","4054 (3475-4778)","30 (29-31)"
"3","FJI","death","catch-up campaign all adults","booster dose","2183 (1847-2571)","40 (38-41)"
"4","FJI","death","catch-up campaign high-risk","booster dose","319 (267-371)","57 (54-59)"
"5","FJI","hosp","booster to high-risk","booster dose","33 (31-37)","20 (19-21)"
"6","FJI","hosp","booster to all","booster dose","167 (158-183)","19 (18-20)"
"7","FJI","hosp","catch-up campaign all adults","booster dose","95 (89-105)","24 (22-25)"
"8","FJI","hosp","catch-up campaign high-risk","booster dose","25 (23-28)","18 (17-20)"
"9","FJI","death","no booster","oral antiviral","293 (252-356)","52 (47-54)"
"10","FJI","death","booster to high-risk","oral antiviral","597 (486-727)","24 (22-26)"
"11","FJI","death","booster to all","oral antiviral","367 (313-449)","38 (35-40)"
"12","FJI","death","catch-up campaign all adults","oral antiviral","409 (345-512)","34 (31-36)"
"13","FJI","death","catch-up campaign high-risk","oral antiviral","617 (490-745)","24 (21-26)"
"14","FJI","hosp","no booster","oral antiviral","21 (18-27)","19 (15-22)"
"15","FJI","hosp","booster to high-risk","oral antiviral","33 (28-42)","11 (9-13)"
"16","FJI","hosp","booster to all","oral antiviral","24 (21-31)","15 (12-17)"
"17","FJI","hosp","catch-up campaign all adults","oral antiviral","25 (22-33)","14 (11-16)"
"18","FJI","hosp","catch-up campaign high-risk","oral antiviral","31 (27-41)","12 (9-14)"
"19","IDN","death","booster to high-risk","booster dose","524 (442-591)","16 (15-17)"
"20","IDN","death","booster to all","booster dose","4523 (3828-5139)","12 (12-13)"
"21","IDN","death","catch-up campaign all adults","booster dose","1740 (1448-1933)","16 (15-16)"
"22","IDN","death","catch-up campaign high-risk","booster dose","273 (227-308)","16 (15-17)"
"23","IDN","hosp","booster to high-risk","booster dose","38 (35-43)","8 (8-8)"
"24","IDN","hosp","booster to all","booster dose","170 (157-187)","11 (11-12)"
"25","IDN","hosp","catch-up campaign all adults","booster dose","63 (57-70)","15 (14-16)"
"26","IDN","hosp","catch-up campaign high-risk","booster dose","19 (18-22)","8 (7-8)"
"27","IDN","death","no booster","oral antiviral","224 (193-269)","54 (50-57)"
"28","IDN","death","booster to high-risk","oral antiviral","255 (217-302)","47 (43-49)"
"29","IDN","death","booster to all","oral antiviral","235 (201-279)","49 (45-52)"
"30","IDN","death","catch-up campaign all adults","oral antiviral","247 (210-292)","48 (44-51)"
"31","IDN","death","catch-up campaign high-risk","oral antiviral","256 (218-304)","47 (43-49)"
