"","setting_beta","outcome","vax_scenario_short","antiviral_target_group","intervention_doses_delivered","antiviral_doses_per_100","dose_impact","pop_level_impact"
"1","FJI","death","no booster","all",275741.445,29.6569841541286,"1019 (871-1235)","57 (52-59)"
"2","FJI","death","booster to high-risk","all",269737.785,29.0112689280886,"1972 (1608-2409)","29 (26-31)"
"3","FJI","death","no booster","high-risk",72701,7.81925402976438,"293 (252-356)","52 (47-54)"
"4","FJI","death","booster to high-risk","high-risk",67582.5,7.26874094533158,"597 (486-727)","24 (22-26)"
"5","FJI","death","no booster","pregnant_women",6597,0.709531077073983,"16769 (16039-18279)","0 (0-0)"
"6","FJI","death","booster to high-risk","pregnant_women",6245,0.671672211054574,"54959 (51878-59623)","0 (0-0)"
"7","FJI","hosp","no booster","all",275741.445,29.6569841541286,"44 (37-56)","34 (27-39)"
"8","FJI","hosp","booster to high-risk","all",269737.785,29.0112689280886,"54 (47-70)","27 (21-31)"
"9","FJI","hosp","no booster","high-risk",72701,7.81925402976438,"21 (18-27)","19 (15-22)"
"10","FJI","hosp","booster to high-risk","high-risk",67582.5,7.26874094533158,"33 (28-42)","11 (9-13)"
"11","FJI","hosp","no booster","pregnant_women",6597,0.709531077073983,"41 (36-54)","1 (1-1)"
"12","FJI","hosp","booster to high-risk","pregnant_women",6245,0.671672211054574,"81 (69-107)","0 (0-0)"
"13","IDN","death","no booster","all",120417803.64,43.70860968892,"861 (737-1033)","58 (54-61)"
"14","IDN","death","booster to high-risk","all",119677466.442,43.4398860563057,"975 (831-1157)","51 (47-54)"
"15","IDN","death","no booster","high-risk",29402808.321,10.6724739516327,"224 (193-269)","54 (50-57)"
"16","IDN","death","booster to high-risk","high-risk",28915298.778,10.4955203476763,"255 (217-302)","47 (43-49)"
"17","IDN","death","no booster","pregnant_women",2226150.147,0.80803606230062,"18995 (18223-21119)","0 (0-0)"
"18","IDN","death","booster to high-risk","pregnant_women",2175695.238,0.789722209550374,"27693 (26566-30788)","0 (0-0)"
"19","IDN","death","no booster","unvaccinated",24026017.419,8.72083517555065,"300 (259-357)","33 (30-35)"
"20","IDN","death","booster to high-risk","unvaccinated",23952608.982,8.69418977409242,"294 (255-350)","33 (31-35)"
"21","IDN","hosp","no booster","all",120417803.64,43.70860968892,"45 (38-57)","39 (32-47)"
"22","IDN","hosp","booster to high-risk","all",119677466.442,43.4398860563057,"48 (41-61)","36 (29-43)"
