"","setting_beta","outcome","vax_scenario_short","antiviral_target_group","intervention_doses_delivered","antiviral_doses_per_100","dose_impact","pop_level_impact"
"1","FJI","death","no booster","molunipiravir",72701,7.81925402976438,"1176 (839-1549)","13 (10-17)"
"2","FJI","death","booster to high-risk","molunipiravir",67582.5,7.26874094533158,"2314 (1733-3255)","6 (5-8)"
"3","FJI","death","no booster","nirmatrelvir_ritonavir",72701,7.81925402976438,"293 (252-356)","52 (47-54)"
"4","FJI","death","booster to high-risk","nirmatrelvir_ritonavir",67582.5,7.26874094533158,"597 (486-727)","24 (22-26)"
"5","FJI","severe_disease","no booster","molunipiravir",72701,7.81925402976438,"99 (80-134)","13 (10-16)"
"6","FJI","severe_disease","booster to high-risk","molunipiravir",67582.5,7.26874094533158,"162 (125-211)","8 (6-10)"
"7","FJI","severe_disease","no booster","nirmatrelvir_ritonavir",72701,7.81925402976438,"52 (40-58)","26 (22-28)"
"8","FJI","severe_disease","booster to high-risk","nirmatrelvir_ritonavir",67582.5,7.26874094533158,"81 (64-94)","16 (13-17)"
"9","IDN","death","no booster","molunipiravir",29402808.321,10.6724739516327,"840 (643-1151)","15 (11-18)"
"10","IDN","death","booster to high-risk","molunipiravir",28915298.778,10.4955203476763,"950 (730-1320)","13 (10-15)"
"11","IDN","death","no booster","nirmatrelvir_ritonavir",29402808.321,10.6724739516327,"224 (193-269)","54 (50-57)"
"12","IDN","death","booster to high-risk","nirmatrelvir_ritonavir",28915298.778,10.4955203476763,"255 (217-302)","47 (43-49)"
"13","IDN","severe_disease","no booster","molunipiravir",29402808.321,10.6724739516327,"83 (70-107)","15 (11-18)"
"14","IDN","severe_disease","booster to high-risk","molunipiravir",28915298.778,10.4955203476763,"93 (78-120)","13 (10-16)"
"15","IDN","severe_disease","no booster","nirmatrelvir_ritonavir",29402808.321,10.6724739516327,"45 (38-51)","28 (24-32)"
"16","IDN","severe_disease","booster to high-risk","nirmatrelvir_ritonavir",28915298.778,10.4955203476763,"50 (43-56)","24 (22-28)"
"17","PNG","death","no booster","molunipiravir",423043.767,4.17094950271749,"605 (470-827)","12 (9-16)"
"18","PNG","death","booster to high-risk","molunipiravir",422122.275,4.161864162384,"604 (471-827)","12 (9-16)"
"19","PNG","death","no booster","nirmatrelvir_ritonavir",423043.767,4.17094950271749,"159 (139-184)","49 (44-51)"
"20","PNG","death","booster to high-risk","nirmatrelvir_ritonavir",422122.275,4.161864162384,"159 (139-184)","48 (44-51)"
"21","PNG","severe_disease","no booster","molunipiravir",423043.767,4.17094950271749,"52 (37-76)","11 (8-14)"
"22","PNG","severe_disease","booster to high-risk","molunipiravir",422122.275,4.161864162384,"52 (37-76)","11 (8-14)"
"23","PNG","severe_disease","no booster","nirmatrelvir_ritonavir",423043.767,4.17094950271749,"28 (22-32)","20 (18-24)"
"24","PNG","severe_disease","booster to high-risk","nirmatrelvir_ritonavir",422122.275,4.161864162384,"27 (22-32)","20 (18-23)"
"25","TLS","death","no booster","molunipiravir",22663.5,1.68966926067138,"1201 (960-1665)","10 (8-13)"
"26","TLS","death","booster to high-risk","molunipiravir",20462,1.5255372035148,"1587 (1265-2334)","7 (5-8)"
"27","TLS","death","no booster","nirmatrelvir_ritonavir",22663.5,1.68966926067138,"291 (254-339)","44 (40-48)"
"28","TLS","death","booster to high-risk","nirmatrelvir_ritonavir",20462,1.5255372035148,"394 (347-459)","30 (27-32)"
"29","TLS","severe_disease","no booster","molunipiravir",22663.5,1.68966926067138,"91 (66-129)","11 (8-14)"
"30","TLS","severe_disease","booster to high-risk","molunipiravir",20462,1.5255372035148,"116 (84-162)","7 (5-10)"
"31","TLS","severe_disease","no booster","nirmatrelvir_ritonavir",22663.5,1.68966926067138,"45 (41-56)","21 (19-23)"
"32","TLS","severe_disease","booster to high-risk","nirmatrelvir_ritonavir",20462,1.5255372035148,"58 (51-72)","15 (14-16)"
